gene_id,log2FoldChange,pvalue
ANKHD1,-0.004327552,0.979661448
ANKHD1-EIF4EBP3,-1.369255476,0.071911909
ANKIB1,-0.082850766,0.046386899
ANKK1,0.544413686,0.821320112
ANKLE1,0.769706221,0.010639748
ANKLE2,-0.171967238,4.61879E-06
ANKMY1,-0.40126315,0.000123743
ANKMY2,-0.138871508,0.078914578
ANKRA2,-0.016630344,0.876946592
ANKRD1,-0.557687694,0.708159928
ANKRD10,-0.125740764,0.000147475
ANKRD11,-0.312370159,2.22993E-13
ANKRD12,0.075248029,0.055016608
ANKRD13A,-0.157638816,0.00243116
ANKRD13B,0.184816637,0.012264153
ANKRD13C,0.000889089,0.984174418
ANKRD13D,-0.074403643,0.424925649
ANKRD16,-0.058434473,0.586945539
ANKRD17,-0.089013845,0.000802971
ANKRD18A,-0.502065289,5.85132E-11
ANKRD18B,-0.434920249,1.45994E-15
ANKRD2,1.118923928,0.016454711
ANKRD20A1,0.881873978,0.828893793
ANKRD22,-1.041679374,0.798503768
ANKRD23,-0.284818128,0.076303537
ANKRD24,0.328888068,0.631618889
ANKRD26,-0.07348032,0.169791823
ANKRD27,0.21810035,7.96004E-06
ANKRD28,-0.280205284,4.02556E-12
ANKRD29,-0.96109257,2.18317E-37
ANKRD30A,0.881873978,0.828893793
ANKRD31,-0.740038959,0.240453249
ANKRD33B,1.052322443,3.43054E-27
ANKRD34A,-0.655264788,1.49147E-06
ANKRD35,-1.041679374,0.798503768
ANKRD36,-0.268253706,4.99029E-10
ANKRD36B,-0.228245738,0.003669593
ANKRD36C,-0.290241244,1.08044E-05
ANKRD37,0.558586413,0.427943987
ANKRD39,-0.265419945,0.111380634
ANKRD40,0.021679343,0.623909839
ANKRD40CL,-0.853418838,0.651874393
ANKRD42,0.467615832,1.32734E-13
ANKRD44,0.095407339,0.581138457
ANKRD45,-0.475018475,0.521087161
ANKRD46,-0.883320194,5.04388E-11
ANKRD49,-0.294215251,0.000129832
ANKRD50,-0.067181787,0.125692484
ANKRD52,0.163356131,2.69395E-05
ANKRD53,-0.365404595,0.402485971
ANKRD54,0.230851788,0.002773407
ANKRD55,0.557914227,0.555061527
ANKRD6,0.957493448,0.148100091
ANKRD60,-1.558641697,0.549480973
ANKRD61,-0.043515188,0.805139288
ANKRD62,0.365007319,0.787505346
ANKRD63,0.725941067,0.406560215
ANKRD65,-0.486830456,0.001285819
ANKRD7,0.881873978,0.828893793
ANKRD9,0.408618426,1.34054E-19
ANKS1A,-0.025980888,0.562439981
ANKS1B,-0.131058509,0.656465737
ANKS3,0.173240236,0.032061546
ANKS6,-0.176691589,0.000957177
ANKZF1,0.052807162,0.318499998
ANLN,0.24002677,8.21011E-19
ANO1,-0.704283999,0.757077302
ANO10,0.384019249,9.87076E-09
ANO4,-0.116239296,0.595017031
ANO5,0.881873978,0.828893793
ANO6,0.164557166,5.72442E-07
ANO7,0.10182352,0.474495168
ANO8,0.142027426,0.065919665
ANO9,-0.551810134,0.342223646
ANP32A,-0.042998674,0.245164717
ANP32B,-0.54217477,1.83391E-62
ANP32D,-1.160518486,0.502425182
ANP32E,-0.107669674,0.000965245
ANPEP,0.683377435,0.001987238
ANTKMT,-0.221794595,0.099265522
ANTXR1,-0.255916217,6.81703E-16
ANTXR2,0.118835312,0.606342155
ANTXRL,0.086630808,0.909236386
ANXA1,0.023938171,0.549138948
ANXA10,0.928045132,0.198382091
ANXA11,0.009392569,0.814163436
ANXA2,0.061314803,0.086457635
ANXA2R,-0.440166158,0.000127642
ANXA3,-0.03359314,0.684663611
ANXA4,-0.567468777,6.10322E-19
ANXA5,-0.022345421,0.49752249
ANXA6,0.409987042,4.97593E-34
ANXA7,0.164940386,0.000480893
ANXA8,-0.332062618,1.16608E-08
ANXA8L1,-0.53279049,1.6679E-11
ANXA9,-0.331008412,0.003246521
AOAH,-0.034746608,0.981793501
AOC2,0.524666792,4.36783E-06
AOC3,0.881063976,3.309E-10
AOPEP,-0.050334559,0.353918235
AOX1,0.128329752,0.417934783
AP1AR,-0.125314262,0.071422071
AP1B1,0.250519687,6.7987E-09
AP1G1,0.102765273,0.002512918
AP1G2,-0.144820207,0.020955854
AP1M1,0.473733806,1.45599E-15
AP1M2,-0.077496845,0.253025652
AP1S1,0.519551948,1.04049E-12
AP1S2,0.233870682,0.000769471
AP1S3,-0.331393132,9.90787E-05
AP2A1,0.397312465,6.59117E-21
AP2A2,-0.177030812,0.002400994
AP2B1,-0.021199947,0.41906633
AP2M1,0.091633939,0.008924126
AP2S1,0.50643923,1.79545E-21
AP3B1,-0.072022601,0.068530861
AP3B2,0.187935305,0.91856469
AP3D1,0.148317523,9.94402E-05
AP3M1,0.149315333,0.000361029
AP3M2,0.320483097,2.0407E-05
AP3S1,0.130095816,0.01269537
