id,HC-1,HC-2,HC-3,HT-1,HT-2,HT-3
ADAMTS8,3,6,2,1,2,1
ADAMTS9,59,57,60,59,57,44
ADAMTSL1,0,0,6,1,1,1
ADAMTSL2,29,29,21,20,7,1
ADAMTSL3,0,0,0,0,0,0
ADAMTSL4,12218,12887,12544,15003,16538,14863
ADAMTSL5,539,503,495,593,576,455
ADAP1,157,208,198,233,272,284
ADAP2,15,27,4,14,33,20
ADAR,13201,14438,14571,14500,15816,14758
ADARB1,8114,8202,7555,7910,8660,7658
ADARB2,3689,3864,3763,1960,1957,1862
ADAT1,1229,1252,1332,978,1113,980
ADAT2,2188,2364,2103,1945,2107,1898
ADAT3,115,119,108,106,103,76
ADCK1,355,317,329,172,161,116
ADCK2,722,898,895,746,806,773
ADCK5,256,345,253,237,321,250
ADCY1,30,29,21,44,38,40
ADCY10,74,79,79,56,55,43
ADCY2,0,0,0,0,0,0
ADCY3,2110,2359,2404,3007,3280,2941
ADCY4,6,8,6,9,14,5
ADCY5,61,33,56,84,101,58
ADCY6,3077,2783,2739,4230,4495,4224
ADCY7,1236,1265,1261,1308,1402,1311
ADCY8,1,0,0,0,0,0
ADCY9,3172,3541,3551,3245,3507,3240
ADCYAP1,4,0,0,0,1,0
ADCYAP1R1,0,0,0,1,0,0
ADD1,3088,3259,3247,2800,3129,2738
ADD2,0,0,3,0,0,0
ADD3,3243,3198,3331,3171,3437,3063
ADGB,0,0,0,0,0,1
ADGRA1,0,0,0,0,0,0
ADGRA2,596,653,645,573,588,574
ADGRA3,3255,3501,3599,2919,3256,3099
ADGRB1,0,0,2,0,0,0
ADGRB2,125,123,120,262,266,284
ADGRB3,0,1,0,0,0,0
ADGRD1,11,7,5,2,3,0
ADGRD2,602,615,470,349,390,400
ADGRE1,40,41,59,83,91,103
ADGRE2,1507,1547,1427,1386,1299,1257
ADGRE3,0,0,0,0,0,0
ADGRE5,3340,3756,3685,3674,3991,3490
ADGRF1,0,0,0,0,1,0
ADGRF2,1,0,0,0,0,0
ADGRF3,140,123,135,152,129,158
ADGRF4,0,0,0,0,0,0
ADGRF5,1,0,0,1,0,0
ADGRG1,1857,1921,1984,1637,1704,1697
ADGRG2,75,89,87,57,58,35
ADGRG3,46,66,33,62,66,85
ADGRG4,0,0,0,0,0,1
ADGRG5,12,4,14,13,5,1
ADGRG6,5794,5991,6164,6190,6896,6468
ADGRG7,0,0,0,2,0,0
ADGRL1,2399,2596,2416,2748,2879,2728
ADGRL2,48,19,27,18,35,39
ADGRL3,0,0,0,0,2,0
ADGRL4,0,1,0,0,0,0
ADGRV1,3,3,8,3,4,11
ADH1A,0,2,1,0,0,0
ADH1B,0,0,0,1,0,0
ADH1C,0,0,0,0,0,0
ADH4,3,0,2,1,0,1
ADH5,3396,3755,3860,4058,4447,4334
ADH6,5,1,0,2,1,1
ADH7,0,0,0,0,0,0
ADHFE1,49,32,33,18,24,14
ADI1,2631,3001,2952,2778,3171,2884
ADIG,2,0,0,1,3,1
ADIPOQ,0,0,0,0,0,0
ADIPOR1,5269,6189,6037,7107,7675,7299
ADIPOR2,6124,6454,6718,6821,7649,7313
ADIRF,522,599,600,620,777,716
ADK,3008,3298,3311,2681,2928,2803
ADM,450,498,568,1060,1097,1410
ADM2,24,55,55,31,46,36
ADM5,117,99,105,76,101,91
ADNP,7789,8120,8273,6743,7298,6897
ADNP2,2310,2442,2357,2140,2410,2221
ADO,868,1047,1017,999,1054,967
ADORA1,5,19,23,48,39,41
ADORA2A,13,17,16,21,14,36
ADORA2B,157,168,170,192,238,173
ADORA3,0,0,0,0,0,0
ADPGK,2736,2756,2825,2865,2990,2771
ADPRH,0,0,0,0,0,0
ADPRHL1,1384,1663,1626,1449,1601,1636
ADPRM,169,223,183,168,204,170
ADPRS,708,930,912,1050,1015,1040
ADRA1A,1,0,0,0,0,0
ADRA1B,0,0,0,0,0,0
ADRA1D,3,1,0,1,2,1
ADRA2A,1,0,0,0,0,0
ADRA2B,1,0,0,0,0,0
ADRA2C,319,347,360,244,302,277
ADRB1,31,27,22,30,24,38
ADRB2,126,123,105,185,166,136
ADRB3,0,0,0,0,0,0
ADRM1,2167,2475,2448,3088,3383,3226
ADSL,2702,2934,2958,2413,2667,2520
ADSS1,547,402,391,471,509,434
ADSS2,3172,3257,3462,2040,2422,2097
ADTRP,82,91,73,37,29,26
AEBP1,82,103,78,42,69,49
AEBP2,3061,3283,3190,2819,3112,2812
AEN,2517,2706,2669,2121,2596,2334
AFAP1,8516,9174,9496,9188,10032,9065
AFAP1L1,1230,1310,1447,1759,1710,1657
AFAP1L2,12,28,14,4,17,3
AFDN,4975,5090,5379,5171,5670,5270
AFF1,8681,8791,8718,6760,7264,6961
AFF2,0,0,0,0,0,0
AFF3,0,0,0,0,0,0
AFF4,10547,11260,11098,10344,11353,10895
AFG1L,248,236,261,161,209,179
AFG3L2,4853,5268,5394,4433,4812,4501
AFM,0,0,0,0,0,0
AFMID,688,794,775,671,757,668
AFP,0,0,0,0,0,0
AFTPH,1714,1850,1790,2027,2292,2161
AGA,353,366,328,262,379,327
AGAP1,1775,1894,1766,1687,1695,1554
AGAP2,199,227,179,180,187,216
AGAP3,3576,4044,3947,4110,4482,4234
AGAP4,635,596,616,551,635,522
AGAP5,208,224,144,110,86,107
AGAP6,1035,932,975,729,887,789
AGAP9,172,139,131,135,237,142
AGBL1,0,1,0,0,0,0
AGBL2,34,32,24,19,34,20
AGBL3,118,166,114,131,130,157
AGBL4,14,22,16,12,12,7
AGBL5,3160,3401,3392,3876,4190,3817
AGER,443,406,399,309,402,363
AGFG1,3405,3655,3476,4758,5480,4997
AGFG2,658,658,714,938,1018,937
AGGF1,1732,1946,1913,1609,1822,1603
AGK,2956,3152,2983,3095,3796,3308
AGL,5354,5633,5674,4253,4694,4431
AGMAT,281,360,343,308,365,310
AGMO,0,0,0,0,0,0
AGO1,4104,4466,4488,4372,4938,4426
AGO2,12394,13220,13380,12323,13534,12706
AGO3,3442,3561,3332,3461,4071,3828
AGO4,1151,1352,1180,885,1072,1017
AGPAT1,1973,2040,2094,2400,2757,2404
AGPAT2,985,949,1104,1479,1648,1489
AGPAT3,2075,2351,2142,2040,2121,1991
AGPAT4,582,633,592,486,543,469
AGPAT5,1016,1055,1114,1137,1145,1096
AGPS,6216,6587,6568,4964,5756,5101
AGR2,21,17,13,7,15,11
AGR3,1,0,0,1,0,0
AGRN,8545,9201,9546,9456,10648,10029
AGRP,18,4,23,20,24,23
AGT,5,0,0,2,2,3
AGTPBP1,2423,2405,2371,2514,2799,2743
AGTR1,0,0,0,0,0,0
AGTR2,1,8,2,6,2,1
AGTRAP,1268,1365,1465,1897,2257,2037
AGXT,16,15,8,47,45,38
AGXT2,0,0,0,1,0,1
AHCTF1,7834,8243,8171,7968,9000,8321
AHCY,7112,7709,7925,8113,8697,7989
AHCYL1,16598,17844,17967,21660,23506,21703
AHCYL2,1634,1609,1613,1802,1932,1819
AHDC1,1643,1804,1645,1934,1899,1877
AHI1,3323,3299,3354,3458,3929,3647
AHNAK,58598,63059,67123,51448,57267,53300
AHNAK2,25691,27805,28517,13748,15267,13181
AHR,1324,1488,1440,1699,1962,1833
AHRR,561,538,488,324,399,388
AHSA1,2904,3281,3388,3410,3454,3390
AHSG,0,0,0,0,0,0
AHSP,0,0,0,0,0,0
AICDA,0,0,0,0,0,0
AIDA,2987,2905,2960,3389,3615,3784
AIF1,0,0,0,3,0,0
AIF1L,1694,1778,1922,2059,2359,2079
AIFM1,3795,4192,4364,3981,4349,4023
AIFM2,287,360,388,448,509,518
AIFM3,5,22,7,10,9,10
AIG1,687,770,728,698,762,660
AIM2,1,1,0,0,0,0
AIMP1,2242,2316,2331,2076,2135,2181
AIMP2,504,610,608,321,423,342
AIP,1492,1652,1602,2241,2373,2287
AIPL1,0,0,0,0,0,0
AIRE,5,0,2,5,6,4
AJAP1,2,1,0,0,2,1
AJM1,329,352,360,399,370,407
AJUBA,2958,3214,3270,2446,2676,2571
AK1,1377,1480,1712,2230,2155,2084
AK2,12313,13431,13477,13967,15138,14281
AK3,1813,2101,2044,1782,1946,1885
AK4,6170,6518,6786,7007,7766,7412
AK5,61,77,56,51,66,18
AK6,275,349,298,347,378,352
AK7,674,645,728,1183,1210,1082
AK8,12,26,26,6,8,7
AK9,85,110,113,26,59,39
AKAIN1,0,0,0,0,0,0
AKAP1,3368,3660,3672,3481,3683,3326
AKAP10,1779,1893,1848,1916,2427,2006
AKAP11,3722,3945,3745,3705,4001,3832
AKAP12,74,74,85,151,155,138
AKAP13,5369,5353,5323,5104,5707,5396
AKAP14,2,1,0,0,1,1
AKAP17A,0,0,0,0,0,0
AKAP3,16,8,10,8,7,9
AKAP4,0,0,0,0,0,0
AKAP5,348,361,271,300,354,285
AKAP6,213,210,230,60,45,70
AKAP7,492,513,508,330,375,384
AKAP8,1090,1062,955,1170,1229,1115
AKAP8L,2092,2290,2194,2916,3013,2756
AKAP9,6043,5949,5957,4844,5571,5339
AKIP1,665,739,694,869,982,851
AKIRIN1,1846,2050,1969,2138,2456,2249
AKIRIN2,1119,1156,1437,1308,1447,1336
AKNA,404,388,457,403,478,415
AKNAD1,6,9,13,7,14,13
AKR1A1,4265,4779,4768,5269,5808,5290
AKR1B1,3451,3984,4096,8744,9564,9041
AKR1B10,3,10,3,14,13,23
AKR1B15,9,1,1,4,5,4
AKR1C1,90,78,95,360,431,482
AKR1C2,12,5,4,48,50,46
AKR1C3,293,319,362,1253,1477,1453
AKR1C4,0,0,0,0,0,0
AKR1C8,0,0,0,0,0,0
AKR1D1,0,0,0,0,0,0
AKR1E2,0,0,0,0,0,0
AKR7A2,1525,1663,1639,1941,2157,1948
AKR7A3,53,64,60,21,14,14
AKT1,6455,6946,7138,8141,8586,8171
AKT1S1,1679,1986,1948,1706,1762,1849
AKT2,2969,3022,2906,3101,3256,3200
AKT3,131,152,130,154,200,156
AKTIP,435,440,500,594,671,626
ALAD,1126,1176,1161,1389,1464,1365
ALAS1,2244,2679,2632,3442,3867,3734
ALAS2,21,30,35,29,54,48
ALB,0,0,0,0,0,0
