t_test,log2_fold_changes,p_values,fdr,significance
-0.315390249315767,0.019782646855613262,0.7682345447649365,0.8110027887853911,ns
-22.825977705548052,0.4817412018409426,2.1822128740824315e-05,0.0013292065905122134,**
-2.1357021705233157,0.1637037490558333,0.09956750212782182,0.15373856821152612,ns
-3.9961780483245577,0.1069563773259441,0.016181464895193058,0.03749725721124969,*
-13.74932145925198,0.19463003880723395,0.00016213018333271727,0.002544902055088873,**
-0.7210077917879837,0.044631422843299795,0.5107944721963468,0.5818321140249778,ns
-5.958695025186895,0.4413388425209881,0.003982036435304912,0.014378660244808867,*
2.7014189167411318,-0.12140462298932686,0.054014877746267245,0.09402295496369359,ns
6.340177755686941,-0.4100037195084214,0.0031691690054933726,0.012423998950412938,*
-5.244798241815949,0.2404470290628491,0.006319555588599848,0.01952528745236317,*
-7.744229327360746,0.2730292143912181,0.001497754209276722,0.007928294063150121,**
-2.4065607115019394,0.08636956830833453,0.07382935509523304,0.12069666458139036,ns
-11.910340471490231,0.4434904759980798,0.00028465266225054725,0.00333685191566968,**
-2.0991741126623293,0.0396342787867594,0.10374997285069398,0.15867184326270192,ns
0.894314791350184,-0.5637031427814052,0.42170169879354275,0.4963204650796785,ns
-0.3752974515810475,0.018579484604401397,0.7264920122394186,0.7749078918217994,ns
8.863776199538393,-0.40002771520806224,0.0008947356738087643,0.005944783486698928,**
5.942800180142628,-0.6548002406192527,0.00402115798354951,0.014473367251927998,*
-3.877186059915397,0.12012738266189515,0.01788395039326869,0.04036946436277213,*
-2.6328880801890757,0.05694307658269526,0.058010486097229974,0.09946057735607916,ns
9.031937487911199,-0.16783932845432759,0.0008324220820559689,0.0057206181576069165,**
0.179048830498065,-0.007460014271133186,0.8666027741385127,0.8922479620419456,ns
-0.2488886972236747,0.01475437314219974,0.8157039375669024,0.8508906197631341,ns
-0.7869738517784972,0.03407819690094849,0.47530610041401805,0.5484681185161097,ns
-16.946703940479182,0.40036679226599947,7.108787237007301e-05,0.001812647038481873,**
-26.11320647451942,1.1366051427121544,1.2778397691957887e-05,0.0011198020841426475,**
5.3830491646308225,-0.11115312056537263,0.005756901397733889,0.01837347647628702,*
-5.563445505041445,0.41893717875106473,0.0051118676004872285,0.016963621504660336,*
-2.3015689973942615,0.0797483109862549,0.08279602510351053,0.1326735413415655,ns
1.4765087521056974,-0.09779905443197467,0.2138552276434701,0.28651673505014336,ns
1.9628836281015831,-0.08206032173087241,0.1211534439833523,0.18036399584599516,ns
-8.829568773890237,0.17665672954448297,0.0009081114641765016,0.0059945174056883445,**
3.5252176027635707,-0.27468977572634445,0.02433523825408906,0.050800329839134295,ns
-4.261478085404975,0.11392036687923646,0.013038247838989747,0.032331214173776754,*
-7.057898213377762,0.2799310249577083,0.00212545990407829,0.009710481237786787,**
-8.67082812802858,0.7870920406147612,0.0009735268947768024,0.006213016512781954,**
16.40593485028204,-0.34764283388211403,8.081020095616767e-05,0.0019236923471281087,**
-0.0948780269329526,0.006516038757730769,0.9289746147226298,0.9445993334715034,ns
-63.92602213375678,0.4730363394592647,3.5870081438444183e-07,0.00039060987818261125,***
4.141477010183603,-0.31896611931975993,0.014359281295796772,0.03458689214679886,*
-4.390113040019395,0.036204887621891224,0.0117815763133347,0.03011230848439585,*
-9.648687996516959,0.25586733729698974,0.0006453589092486258,0.005045918838820451,**
0.28298561931402016,-0.0049926431533764415,0.7912288103221377,0.8297540774284196,ns
0.5919209638322572,-0.041089608536250655,0.5857395967892913,0.6500410719729939,ns
7.598449653812552,-0.45362220234381767,0.0016095240043505173,0.008225773305575196,**
